Stimuli	E80-H1	E80-H2	E82-H1	E82-H2	E82-H3	E83-H1	E83-H2	E83-H3	E84-H1	E84-H2	E85-H1	E85-H2	E86-H1	E86-H2	E86-H3	E86-H4	E88-H1	E88-H2	E89-H1	E89-H2	E89-H3	E90-H1	E90-H2	E91-H1	E91-H2	E91-H3	E92-H1	E92-H2	E92-H3	E93-H1	E93-H2	E93-H3	E94-H1	E94-H2	E94-H3	E95-H1	E95-H2	E96-H1	E96-H2	E96-H3	E97-H1	E98-H1	E98-H2	E98-H3	E99-H1	E99-H2	E100-H1	E100-H2	E100-H3	E101-H1	E101-H2	E101-H3	E102-H1	E102-H2	E102-H3	E103-H1	E103-H2	E104-H1	E104-H2	E104-H3	E105-H1	E105-H2	E105-H3	E106-H1	E106-H2	E107-H1	E107-H2	E107-H3	E108-H1	E108-H2	E108-H3	E109-H1	E109-H2	E109-H3	E110-H1	E110-H2	E110-H3	E111-H1	E111-H2	E112-H1	E112-H2	E112-H3	E113-H1	E113-H2	E113-H3	E114-H1	E114-H2	E114-H3	E115-H1	E115-H2	E115-H3	E116-H1	E116-H2	E116-H3	E117-H1	E117-H2	E118-H1	E118-H2	E118-H3	E119-H1	E119-H2	E119-H3	E121-H1	E121-H2	E121-H3	E122-H1	E122-H2	E122-H3	E123-H1	E123-H2	E123-H3	E124-H1	E124-H2	E124-H3	E125-H1	E125-H2	E125-H3	E126-H1	E126-H2	E126-H3	E127-H1	E127-H2	E127-H3	E128-H1	E128-H2	E128-H3	E129-H1	E129-H2	E129-H3	E130-H1	E130-H2	E131-H1	E131-H2	E132-H1	E132-H2	E132-H3	E133-H1	E133-H2	E133-H3	E134-H1	E134-H2	E134-H3	E135-H1	E135-H2	E135-H3	E136-H1	E136-H2	E136-H3	E137-H1	E137-H2	E137-H3	E138-H1	E138-H2	E138-H3	E139-H1	E139-H2	E140-H1	E140-H2	E140-H3	E141-H1	E143-H1	E143-H2	E143-H3	E144-H1	E144-H2	E144-H3	E146-H1	E146-H2	E146-H3	E147-H1	E147-H2	E147-H3	E148-H1	E148-H2	E149-H1	E149-H2	E149-H3	E150-H1	E150-H2	E150-H3	E151-H1	E151-H2	E151-H3	E152-H1	E152-H2	E152-H3	E153-H1	E153-H2	E154-H1	E154-H2	E155-H1	E155-H2	E155-H3	E156-H1	E156-H2	E156-H3	E157-H1	E157-H2	E157-H3	E158-H1	E158-H2	E159-H1	E159-H2	E159-H3	E160-H1	E160-H2	E160-H3	E161-H1	E161-H2	E161-H3	E162-H1	E162-H2	E162-H3	E163-H1	E163-H2	E163-H3	E164-H1	E164-H2	E164-H3	E165-H1	E165-H2	E166-H1	E166-H2	E167-H1	E167-H2	E167-H3	E168-H1	E168-H2	E168-H3	E169-H1	E169-H2	E169-H3	E170-H1	E170-H2	E170-H3	E171-H1	E171-H2	E172-H1	E172-H2	E173-H1	E173-H2	E174-H1	E175-H1	E175-H2	E175-H3	E176-H1	E177-H1	E177-H2	E177-H3	E178-H1	E179-H1	E180-H1	E180-H2	E180-H3	E181-H1	E182-H1	E182-H2	E183-H1	E183-H2	E184-H1	E184-H2	E184-H3	E185-H1	E185-H2	E186-H1	E186-H2	E186-H3	E187-H1	E187-H2	E188-H1	E189-H1	E190-H1	E190-H2	E190-H3	E191-H1	E191-H2	E192-H1	E192-H2	E192-H3	E193-H1	E193-H2	E194-H1	E194-H2	E194-H3	E195-H1	E195-H2	E195-H3	E196-H1	E196-H2	E196-H3	E197-H1	E197-H2	E197-H3	E198-H1	E198-H2	E198-H3	E199-H1	E199-H2	E199-H3	E200-H1	E200-H2	E200-H3	E201-H1	E201-H2	E201-H3	E202-H1	E202-H2	E202-H3	E203-H1	E203-H2	E203-H3	E204-H1	E204-H2	E204-H3	E205-H1	E205-H2	E205-H3	E206-H1	E206-H2	E206-H3	E207-H1	E207-H2	E207-H3	E208-H1	E209-H1	E209-H2	E210-H1	E210-H2	E210-H3	E211-H1	E211-H2	E211-H3	E212-H1	E212-H2	E213-H1	E213-H2	E214-H1	E214-H2	E214-H3	E215-H1	E215-H2	E215-H3	E216-H1	E216-H2	E217-H1	E217-H2	E218-H1	E218-H2	E218-H3	E219-H1	E219-H2	E219-H3	E220-H1	E220-H2	E220-H3	E221-H1	E221-H2	E222-H1	E222-H2	E222-H3	E223-H1	E223-H2	E223-H3	E224-H1	E224-H2	E224-H3	E225-H1	E225-H2	E226-H1	E227-H1	E228-H1	E228-H2	E229-H1	E230-H1	E230-H2	E231-H1	E231-H2	E232-H1	E232-H2	E233-H1	E233-H2	E234-H1	E235-H1	E235-H2	E236-H1	E236-H2	E237-H1	E237-H2	E238-H1	E238-H2	E239-H1	E239-H2	E240-H1	E241-H1	E241-H2	E242-H1	E243-H1	E243-H2	E243-H3	E244-H1	E244-H2	E245-H1	E245-H2	E246-H1	E246-H2	E247-H1	E247-H2	E247-H3	E248-H1	E248-H2	E248-H3	E249-H1	E249-H2	E249-H3	E251-H1	E251-H2	E251-H3	E252-H1	E252-H2	E252-H3	E253-H1	E253-H2	E253-H3	E254-H1	E254-H2	E254-H3	E255-H1	E255-H2	E255-H3
A	2	8	1	1	8	1	1	1	1	8	1	2	1	1	1	7	1	1	1	4	7	2	1	1	4	1	1	3	1	1	4	1	1	1	7	1	1	2	3	3	1	1	1	3	1	6	1	4	1	1	4	1	1	2	1	1	1	1	1	5	1	3	1	1	1	2	3	1	1	1	2	1	3	5	1	3	1	2	1	1	1	2	1	4	1	1	4	3	1	4	1	1	2	3	1	1	1	2	2	1	3	1	1	4	1	1	4	4	1	4	1	1	4	1	1	2	6	1	4	8	1	3	1	1	2	1	1	3	7	1	1	1	4	1	1	1	1	1	1	1	2	1	1	4	1	1	3	1	1	4	1	1	4	1	2	8	1	2	1	1	1	3	1	1	2	1	1	1	1	1	4	1	1	2	1	3	1	1	6	8	1	5	1	1	4	1	2	1	1	1	1	1	1	1	4	1	1	3	5	1	5	1	4	1	1	2	8	1	4	1	1	2	1	1	4	1	1	4	1	1	3	1	1	1	1	1	1	4	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	5	1	2	1	3	3	1	4	1	1	1	4	1	1	2	1	2	4	1	3	1	3	1	1	2	1	1	4	5	1	1	1	1	2	3	1	4	1	1	4	1	1	4	1	1	1	1	1	4	1	1	4	1	1	2	1	1	4	1	1	2	1	1	2	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	2	3	1	4	1	1	1	2	1	1	1	1	1	2	1	2	1	1	4	1	1	3	1	1	2	1	1	1	2	1	1	2	1	1	6	1	4	1	3	2	1	1	1	1	1	1	1	2	1	3	1	4	1	1	1	1	2	2	3	1	2	1	2	1	1	1	2	1	1	4	1	1	4	1	1	2	5	1	1	1	2	4	4	1	3	1	1	7	8
B	2	1	2	2	1	2	3	5	2	1	2	1	2	2	4	4	2	8	2	1	1	2	8	2	2	8	2	1	8	2	1	8	1	1	8	2	3	2	3	4	2	1	1	3	2	3	2	1	8	2	1	8	1	2	8	2	7	2	3	3	1	4	8	2	8	2	1	8	1	2	4	1	3	8	2	1	8	2	8	2	3	6	2	1	8	2	1	7	2	1	8	2	4	6	2	4	2	4	4	2	2	8	2	1	8	1	2	2	2	2	8	2	1	8	2	4	4	2	2	2	2	1	8	1	1	8	1	3	3	2	8	2	1	1	1	1	1	1	1	2	1	8	2	1	8	2	2	8	2	1	8	2	1	8	2	5	2	1	8	2	2	1	8	1	1	8	2	4	8	2	1	8	2	8	2	1	8	2	4	4	2	4	8	2	1	8	1	8	2	8	2	3	8	2	1	8	2	2	3	1	7	2	1	8	2	6	6	2	1	8	2	1	8	2	1	8	1	1	8	2	8	1	8	1	1	8	2	1	8	2	1	8	2	3	8	2	5	2	8	2	3	1	2	2	2	1	2	3	5	2	2	2	3	3	2	2	1	2	8	1	1	5	1	1	2	2	7	1	4	2	2	2	1	8	2	1	1	1	2	2	1	2	1	8	1	1	8	2	1	4	2	3	8	2	4	8	2	1	8	2	1	8	2	1	8	1	1	8	2	1	8	2	1	8	1	1	8	2	1	8	2	1	8	1	2	8	1	2	8	2	2	8	2	8	2	8	2	1	8	2	3	5	2	1	2	8	2	4	8	1	1	8	2	3	8	2	2	2	1	8	1	3	8	1	1	8	2	8	2	2	2	1	2	1	6	2	1	2	2	1	8	2	2	8	2	8	1	1	2	1	2	1	1	2	8	1	2	1	1	2	8	2	1	2	8	2	1	5	2	1	8	2	1	8	2	1	4	2	3	5	2	2	2	2	2	8	1	6	6
C	1	2	1	4	2	1	2	2	1	2	1	2	1	1	2	8	1	2	1	3	6	2	2	1	4	2	1	4	2	1	3	2	1	1	7	1	1	2	3	4	1	1	1	3	2	4	1	3	2	1	3	2	2	3	2	1	3	1	2	6	1	4	2	1	2	1	4	2	1	1	1	1	4	6	1	4	2	1	2	1	2	3	1	3	2	1	3	1	2	3	2	1	1	2	2	2	2	5	5	1	3	1	1	3	2	1	3	3	1	3	2	1	3	2	1	2	5	1	3	7	1	4	2	1	2	2	1	3	7	1	2	1	3	2	2	3	1	1	1	1	2	2	1	3	2	1	4	2	1	3	2	1	3	2	2	6	1	2	1	1	1	4	2	1	2	2	1	2	2	1	3	2	1	4	1	3	1	1	5	7	1	6	2	1	3	2	2	2	1	2	1	2	2	2	3	2	1	3	6	1	6	1	3	2	1	1	7	1	3	2	1	2	2	1	3	2	2	6	2	1	1	2	2	2	3	2	1	3	2	1	3	2	2	4	2	2	5	1	2	2	3	1	1	3	3	2	1	1	1	1	1	1	2	2	1	1	4	1	2	1	2	2	1	2	1	1	2	1	4	1	1	1	3	2	1	2	1	2	3	1	4	1	3	2	1	2	2	1	3	8	1	2	2	1	2	3	1	3	2	1	3	2	1	3	2	1	1	2	1	3	2	1	3	2	1	2	2	1	3	2	1	2	2	1	1	2	1	1	2	1	3	2	1	2	1	2	1	3	2	1	2	3	1	3	1	2	1	1	2	1	2	2	1	1	2	1	5	1	3	2	1	3	2	1	2	2	1	2	1	1	1	2	1	1	7	1	3	1	3	1	2	2	1	2	1	2	1	2	1	4	1	3	1	1	2	1	1	3	6	2	7	1	2	1	2	1	2	1	1	3	2	1	3	2	1	2	6	1	2	3	1	5	7	1	4	2	2	4	4
D	2	7	2	3	7	2	3	3	2	7	2	4	2	2	4	4	2	7	2	2	4	2	7	2	1	7	2	1	7	2	2	7	1	3	6	2	2	2	2	2	2	1	4	1	1	8	2	2	7	2	2	7	1	1	7	2	8	1	1	1	2	2	7	2	7	2	1	7	2	3	6	2	1	1	2	1	7	2	7	2	4	7	2	2	7	2	2	6	1	2	7	2	5	7	2	3	2	3	3	2	1	6	2	2	7	2	5	5	2	2	7	2	2	7	2	3	1	2	1	1	2	1	7	2	4	7	1	4	8	2	7	2	2	2	2	4	2	3	3	2	4	7	2	2	7	2	1	7	2	2	7	2	2	7	2	7	2	4	7	2	2	1	7	2	4	7	2	3	7	2	2	7	2	6	2	2	7	2	1	1	2	1	7	2	2	7	1	7	2	7	2	4	7	1	2	7	2	2	4	1	8	2	2	7	2	4	4	2	2	7	2	4	7	2	2	7	1	3	7	2	5	1	7	1	2	7	2	2	7	2	2	7	1	2	7	1	3	2	7	1	2	2	2	1	1	2	2	4	7	2	2	2	3	3	2	2	1	2	7	1	2	2	2	4	2	2	5	2	3	2	2	2	2	7	2	4	2	3	1	2	1	2	1	7	2	4	7	2	2	1	2	3	7	2	3	5	2	2	7	2	2	7	2	2	7	2	2	7	2	2	7	2	2	7	2	4	7	2	2	7	2	4	7	2	2	7	2	3	7	2	1	7	2	7	2	7	2	2	7	2	4	6	2	2	2	7	2	3	7	2	4	7	2	3	7	2	3	2	2	7	2	2	7	2	4	7	2	7	2	2	2	4	2	2	2	2	2	2	1	2	7	1	2	7	2	7	2	4	2	1	2	2	2	2	7	2	2	1	1	2	5	2	4	2	7	2	4	8	2	2	7	2	2	7	2	4	2	2	3	6	1	5	5	2	2	7	2	1	1
E	2	6	1	4	6	1	2	2	1	6	1	3	1	1	1	1	1	3	1	3	5	2	3	1	3	3	1	3	3	1	3	3	2	2	1	1	1	1	1	1	1	2	2	5	2	1	1	3	3	1	3	3	1	1	3	1	4	1	2	6	2	1	3	1	3	2	3	3	2	4	8	2	2	4	1	3	3	2	3	1	1	2	1	3	3	1	3	2	2	3	3	1	1	1	2	2	2	5	8	1	4	2	1	3	3	2	6	6	1	3	3	1	3	3	1	1	7	1	3	3	1	3	3	2	3	3	2	2	6	1	3	1	3	1	1	2	1	2	2	1	3	3	1	3	3	1	3	3	1	3	3	1	3	3	1	2	1	3	3	1	1	3	3	2	3	3	1	1	3	1	3	3	1	3	1	4	3	1	5	5	1	6	3	1	3	3	1	3	1	3	1	2	3	2	3	3	1	4	7	2	4	1	3	3	1	1	7	1	3	3	1	3	3	1	3	3	1	2	3	1	2	1	3	1	2	3	1	3	3	1	3	3	2	3	3	2	7	1	3	2	3	2	1	4	4	1	1	2	3	1	1	1	1	1	1	1	3	1	3	2	3	3	2	3	1	1	1	2	1	1	1	1	3	3	1	3	2	3	1	1	3	1	2	3	2	3	3	1	3	8	1	2	3	1	1	1	1	3	3	1	3	3	1	3	3	2	3	3	1	3	3	1	3	3	2	3	3	1	3	3	1	3	3	2	2	3	2	3	3	1	3	3	1	3	1	3	2	2	3	1	2	7	1	3	1	3	1	1	3	2	3	3	1	1	3	2	4	1	3	3	2	1	3	2	3	3	1	3	2	1	1	3	1	2	3	1	3	1	3	2	3	2	1	3	1	3	2	3	1	3	1	3	2	1	3	2	2	2	4	2	6	1	3	1	3	1	3	4	1	3	3	1	3	3	1	3	7	1	1	2	2	3	3	1	4	3	2	4	4
F	1	3	1	1	3	1	1	1	1	3	1	3	1	1	2	2	1	4	1	4	8	2	4	1	3	4	1	4	4	1	4	4	2	2	1	1	1	1	1	1	1	2	2	5	1	7	1	4	4	1	4	4	2	3	4	1	2	1	1	5	2	2	4	1	4	1	4	4	2	3	5	2	2	3	1	4	4	2	4	1	2	4	1	4	4	1	4	4	1	4	4	1	2	4	1	1	1	1	1	1	4	3	1	4	4	2	6	7	1	4	4	1	4	4	1	1	8	1	4	8	1	4	4	2	3	4	2	2	6	1	4	1	4	2	3	6	2	4	5	1	3	4	1	4	4	1	4	4	1	4	4	1	4	4	1	3	1	3	4	1	1	4	4	2	3	4	1	2	4	1	4	4	1	1	1	4	4	1	6	6	1	5	4	1	4	4	1	4	1	4	1	1	4	1	4	4	1	4	8	2	3	1	4	4	1	2	8	1	4	4	1	3	4	1	4	4	2	6	4	1	4	2	4	2	4	4	1	4	4	1	4	4	1	1	4	1	2	1	4	1	2	2	1	4	4	2	1	2	3	1	1	1	2	4	1	1	4	1	4	2	4	4	2	3	1	3	3	2	1	1	1	1	4	4	1	3	2	3	1	1	4	1	2	4	2	3	4	1	4	5	1	1	4	1	1	1	1	4	4	1	4	4	1	4	4	2	3	4	1	4	4	1	4	4	2	3	4	1	4	4	1	3	4	2	1	4	2	3	4	1	3	4	1	4	1	4	1	4	4	1	2	7	1	4	1	4	1	2	4	2	3	4	1	2	4	1	6	1	4	4	2	1	4	2	3	4	1	4	1	1	1	3	1	2	1	1	4	1	3	2	4	1	1	4	1	4	2	3	1	4	1	4	2	1	4	2	1	4	8	1	3	1	3	1	4	1	3	3	1	4	4	1	4	4	1	3	8	1	2	4	1	6	8	1	3	4	1	7	8
G	2	6	1	4	6	1	2	2	1	6	1	3	1	1	1	1	1	3	1	3	6	2	3	1	3	3	1	3	3	1	3	3	1	3	5	1	1	1	1	1	1	1	4	1	2	2	1	3	3	1	3	2	1	1	3	1	3	2	3	3	2	1	3	1	3	2	3	3	2	3	6	2	2	4	1	3	3	2	3	1	1	1	1	3	3	1	3	1	2	3	3	1	1	1	2	2	2	5	8	1	4	2	1	3	3	2	5	5	1	3	3	1	3	3	1	1	7	1	3	3	1	3	3	2	3	3	1	4	8	1	3	1	3	2	2	4	1	2	2	1	3	3	1	3	3	1	3	3	1	3	3	1	3	3	2	6	1	3	3	1	1	3	3	2	3	3	1	1	3	1	3	3	1	3	1	4	3	1	5	7	1	6	3	1	3	3	1	3	1	3	1	2	3	2	3	3	1	4	7	1	6	1	3	3	1	1	1	1	3	3	1	3	3	1	3	3	1	2	3	1	1	1	3	1	2	7	1	3	3	1	3	3	2	3	3	2	6	1	3	2	3	2	1	4	4	2	1	1	2	1	1	1	1	1	1	1	3	1	3	1	2	2	2	3	1	1	1	2	1	1	1	1	3	3	1	3	2	3	1	1	3	1	2	3	2	3	3	1	3	7	1	2	3	1	1	2	1	3	3	1	3	3	1	3	3	2	3	3	1	3	3	1	3	3	2	3	3	1	3	3	1	3	3	2	2	3	2	3	3	1	3	3	1	3	1	3	2	2	3	1	1	1	1	3	1	3	1	1	3	2	3	3	1	1	3	2	4	1	3	3	2	1	3	2	3	3	1	3	2	1	1	3	1	2	3	1	3	1	3	2	3	2	1	3	1	3	2	3	1	3	1	3	2	1	3	2	2	2	3	2	6	1	3	1	3	1	3	4	1	3	3	1	3	3	1	3	7	1	2	3	1	5	7	1	4	3	1	7	7
H	1	5	2	2	5	2	4	4	2	5	2	4	2	2	3	3	2	6	2	1	2	2	6	2	2	6	2	2	6	2	1	6	2	2	2	2	3	1	1	1	2	2	2	4	2	2	2	1	6	2	1	6	2	4	6	2	6	2	4	4	2	1	6	2	6	1	2	6	2	3	5	2	1	2	2	2	6	2	6	2	3	6	2	1	6	2	1	8	2	1	6	2	3	5	2	4	2	4	7	2	2	5	2	1	6	2	6	7	2	1	6	2	1	6	2	4	3	2	2	2	2	2	6	2	4	6	2	2	2	2	6	2	1	2	3	6	1	1	1	2	4	6	2	1	6	2	1	6	2	1	6	2	1	6	1	1	2	4	6	2	2	2	6	2	4	6	2	3	6	2	1	6	2	8	2	1	6	2	2	2	2	2	6	2	1	6	2	6	2	6	2	4	6	2	1	6	2	1	1	2	1	2	1	6	2	6	6	2	1	6	2	4	6	2	1	6	2	5	6	2	6	2	6	2	4	6	2	1	6	2	1	6	2	4	6	2	7	2	6	2	3	2	2	2	6	2	2	3	6	2	2	2	4	5	2	2	2	2	6	2	4	4	2	4	2	2	4	2	2	2	2	2	1	6	2	4	2	3	1	2	2	2	1	6	2	4	6	2	1	4	2	3	6	2	4	8	2	1	6	2	1	6	2	1	6	2	2	6	2	1	6	2	1	6	2	4	6	2	1	6	2	4	6	2	1	6	2	3	6	2	2	6	2	6	2	6	1	4	6	2	3	5	2	1	2	6	2	3	6	2	4	6	2	3	6	1	6	2	1	6	2	2	6	2	4	6	2	6	1	2	2	4	2	2	4	2	1	2	2	1	6	2	2	6	2	6	2	4	2	2	2	1	2	2	6	2	1	4	7	1	4	2	4	2	6	2	4	7	2	1	6	2	1	6	2	4	1	2	4	7	1	6	6	2	1	6	2	2	2
I	2	7	2	3	7	2	3	3	2	7	2	4	2	2	5	5	2	7	2	2	3	2	7	2	1	7	2	1	7	2	2	7	2	2	2	2	2	1	1	1	2	2	2	4	1	8	2	2	7	2	2	7	1	1	7	2	8	2	3	3	2	2	7	2	7	2	1	7	2	4	7	2	1	1	2	1	7	2	7	2	4	7	2	2	7	2	2	5	1	2	7	2	5	7	2	3	2	3	6	2	1	7	2	2	7	2	6	6	2	2	7	2	2	7	2	3	2	2	2	6	2	1	7	2	4	7	2	2	2	2	7	2	2	1	1	2	1	2	2	2	4	7	2	2	7	2	1	7	2	2	7	2	2	7	1	4	2	4	7	2	2	1	7	2	4	7	2	3	6	2	2	7	2	7	2	2	7	2	3	3	2	1	7	2	2	7	1	7	2	7	2	4	7	1	2	7	2	1	2	2	2	2	2	7	2	3	3	2	2	7	2	4	7	2	2	7	1	3	7	2	5	1	7	1	2	3	2	2	7	2	2	7	1	2	7	1	2	2	7	1	1	2	2	1	1	1	2	4	5	2	2	2	3	3	2	2	1	2	7	2	3	3	2	4	2	2	5	2	3	2	2	2	2	7	2	4	2	3	1	2	1	2	1	7	2	4	7	2	2	2	2	3	7	2	3	6	2	2	7	2	2	7	2	2	7	2	2	7	2	2	7	2	2	7	2	4	7	2	2	7	2	4	7	2	2	7	2	3	7	2	1	7	2	7	2	7	2	2	7	2	4	8	2	2	2	7	2	3	7	2	4	7	2	3	7	2	3	2	2	7	2	2	7	2	4	7	2	7	2	2	2	4	2	2	2	2	2	2	1	2	7	1	2	7	2	7	2	4	2	1	2	2	2	2	7	2	2	1	2	1	4	2	4	2	7	2	4	8	2	2	7	2	2	7	2	4	2	2	4	8	2	1	1	2	2	7	1	6	6
J	1	5	2	2	5	2	4	4	2	5	2	4	2	2	5	5	2	6	2	1	2	2	6	2	2	6	2	2	6	2	1	6	1	3	6	2	3	2	3	4	2	1	4	2	2	1	2	1	6	2	1	6	2	4	6	2	6	1	2	2	2	1	6	2	6	1	2	6	2	4	7	2	1	2	2	2	6	2	6	2	3	5	2	1	6	2	1	7	2	1	6	2	3	5	2	4	2	4	7	2	2	5	2	1	6	2	5	8	2	1	6	2	1	6	2	4	3	2	1	5	2	2	6	2	4	6	1	4	4	2	6	2	1	1	4	7	2	3	3	2	4	6	2	1	6	2	1	6	2	1	6	2	1	6	2	5	2	4	6	2	2	2	6	2	4	6	2	3	7	2	1	6	2	6	2	1	6	2	4	4	2	2	6	2	1	6	2	6	2	6	2	4	6	2	1	6	2	2	3	1	7	2	1	6	2	5	5	2	1	6	2	4	6	2	1	6	2	5	6	2	6	2	6	2	4	6	2	1	6	2	1	6	2	4	6	2	6	2	6	2	3	2	2	2	6	1	2	3	8	2	2	2	4	5	2	2	2	2	6	1	1	1	2	4	2	2	4	2	2	2	2	2	1	6	2	4	2	3	1	2	2	2	1	6	2	4	6	2	1	3	2	3	6	2	4	7	2	1	6	2	1	6	2	1	6	2	2	6	2	1	6	2	1	6	2	4	6	2	1	6	2	4	6	2	1	6	2	3	6	2	2	6	2	6	2	6	1	4	6	2	3	4	2	1	2	6	2	3	6	2	4	6	2	3	6	1	6	2	1	6	2	2	6	2	4	6	2	6	1	2	2	4	2	2	4	2	1	2	2	1	6	2	2	6	2	6	2	4	2	2	2	1	2	2	6	2	1	3	5	2	5	2	4	2	6	2	4	7	2	1	6	2	1	6	2	4	1	2	3	5	2	2	2	2	1	6	2	1	1
